Title	Link	Date	FR_Cit	n_pg	n_hit	n_lives*	n_sheep	n_cattle	n_trampl*	n_graz*	n_sediment*	n_water_qual	Species	Orig_URL	Doc_Type
Determination of End. Status for Cereus eriophorus var. fragrans (Fragrant prickly-apple); 50 FR 45618-45621	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1043.pdf' target='_blank'>Link</a>	11/1/85	50 FR 45618 45621	4	4	0	0	0	0	4	0	0	Cereus eriophorus var. fragrans	<a href='http://ecos.fws.gov/docs/federal_register/fr1043.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for 2 Florida mints; 50 FR 45621-45624	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1044.pdf' target='_blank'>Link</a>	11/1/85	50 FR 45621 45624	4	2	0	0	0	0	2	0	0	Dicerandra christmanii; Dicerandra cornutissima; Dicerandra frutescens	<a href='http://ecos.fws.gov/docs/federal_register/fr1044.pdf' target='_blank'>FWS Link</a>	NA
End. Status for Clematis socialis; 50 FR 49970-49972	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1058.pdf' target='_blank'>Link</a>	12/6/85	50 FR 49970 49972	3	2	0	0	1	0	1	0	0	Clematis socialis	<a href='http://ecos.fws.gov/docs/federal_register/fr1058.pdf' target='_blank'>FWS Link</a>	NA
Determination of Thr. Status & Crit. Hab. for Desert Dace; 50 FR 50304- 50309	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1060.pdf' target='_blank'>Link</a>	12/10/85	50 FR 50304 50309	6	6	1	0	1	0	4	0	0	Eremichthys acros	<a href='http://ecos.fws.gov/docs/federal_register/fr1060.pdf' target='_blank'>FWS Link</a>	NA
NOAA--Addition of Guadalupe Fur Seal to List of Endangered and Threatened Wildlife; 50 FR 51251-51252	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1065.pdf' target='_blank'>Link</a>	12/16/85	50 FR 51251 51252	7	4	0	0	0	0	4	0	0	Arctocephalus townsendi	<a href='http://ecos.fws.gov/docs/federal_register/fr1065.pdf' target='_blank'>FWS Link</a>	NA
Final Rule to Determine Zanthoxylum thomasianum (Prickly-ash) to be End. Species; 50 FR 51867-51870	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1068.pdf' target='_blank'>Link</a>	12/20/85	50 FR 51867 51870	4	2	0	0	0	0	2	0	0	Zanthoxylum thomasianum	<a href='http://ecos.fws.gov/docs/federal_register/fr1068.pdf' target='_blank'>FWS Link</a>	NA
Determination of Thr. Status for Coryphantha robbinsorum; 51 FR 952 956	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1071.pdf' target='_blank'>Link</a>	1/9/86	51 FR 952 956	5	7	1	0	2	1	3	0	0	Coryphantha robbinsiorum	<a href='http://ecos.fws.gov/docs/federal_register/fr1071.pdf' target='_blank'>FWS Link</a>	NA
Findings on Pending Petitions & Description of Progress on Listing Actions; 51 FR 996-999	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1072.pdf' target='_blank'>Link</a>	1/9/86	51 FR 996 999	4	4	0	0	0	0	3	1	0	Accipiter striatus venator; Boloria acrocnema; Buteo platypterus brunnescens; Gammarus acherondytes; Gammarus desperatus; Gammarus hyalleloides; Gammarus pecos; Palaemonetes cummingi; Palaemonias alabamae; Percina rex; Physa natricina; Stygobromus (=Stygonectes) pecki; Taylorconcha serpenticola; Zosterops rotensis	<a href='http://ecos.fws.gov/docs/federal_register/fr1072.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Santalum freycinetianum var. lanaiense (Lanai Sandalwood or 'iliahi); 51 FR 3182-3185	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1079.pdf' target='_blank'>Link</a>	1/24/86	51 FR 3182 3185	4	7	1	1	1	1	3	0	0	Santalum haleakalae var. lanaiense	<a href='http://ecos.fws.gov/docs/federal_register/fr1079.pdf' target='_blank'>FWS Link</a>	NA
Determination of Northern Aplomado Falcon to be End. Species; 51 FR 6686- 6690	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1088.pdf' target='_blank'>Link</a>	2/25/86	51 FR 6686 6690	5	4	0	0	0	0	4	0	0	Falco femoralis septentrionalis	<a href='http://ecos.fws.gov/docs/federal_register/fr1088.pdf' target='_blank'>FWS Link</a>	NA
Determination of Oxypolis canbyi (Canby's Dropwort) to be End. Species; 51 FR 6690-6693	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1089.pdf' target='_blank'>Link</a>	2/25/86	51 FR 6690 6693	4	4	1	0	0	0	3	0	0	Oxypolis canbyi	<a href='http://ecos.fws.gov/docs/federal_register/fr1089.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Hymenoxys texana; 51 FR 8681-8683	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1094.pdf' target='_blank'>Link</a>	3/13/86	51 FR 8681 8683	3	1	0	0	0	0	1	0	0	Hymenoxys texana	<a href='http://ecos.fws.gov/docs/federal_register/fr1094.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Argyroxiphium snadwicense ssp. sandwicense ('Ahinahina or Mauna Kea Silversword); 51 FR 9814-9820	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1096.pdf' target='_blank'>Link</a>	3/21/86	51 FR 9814 9820	7	9	0	3	1	1	4	0	0	Argyroxiphium sandwicense ssp. sandwicense	<a href='http://ecos.fws.gov/docs/federal_register/fr1096.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Achyranthes rotundata; 51 FR 10518-10521	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1099.pdf' target='_blank'>Link</a>	3/26/86	51 FR 10518 10521	4	3	0	0	0	0	3	0	0	Achyranthes splendens var. rotundata	<a href='http://ecos.fws.gov/docs/federal_register/fr1099.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Erythronium propullans (Minnesota Trout Lily); 51 FR 10521-10523	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1100.pdf' target='_blank'>Link</a>	3/26/86	51 FR 10521 10523	3	3	0	0	0	0	3	0	0	Erythronium propullans	<a href='http://ecos.fws.gov/docs/federal_register/fr1100.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status & Crit. Hab. for Desert Pupfish; 51 FR 10842- 10851	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1102.pdf' target='_blank'>Link</a>	3/31/86	51 FR 10842 10851	10	5	0	0	0	0	5	0	0	Cyprinodon macularius	<a href='http://ecos.fws.gov/docs/federal_register/fr1102.pdf' target='_blank'>FWS Link</a>	NA
Final Rule Determining June Sucker (Chasmistes liorus) to be End. Species w/ Crit. Hab. 51 FR 10851-10857	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1103.pdf' target='_blank'>Link</a>	3/31/86	51 FR 10851 10857	7	7	0	0	0	0	5	0	2	Chasmistes liorus	<a href='http://ecos.fws.gov/docs/federal_register/fr1103.pdf' target='_blank'>FWS Link</a>	NA
Determination of Thr. Status & Crit. Hab. for Railroad Valley Springfish; 51 FR 10857-10865	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1104.pdf' target='_blank'>Link</a>	3/31/86	51 FR 10857 10865	9	15	3	0	2	2	7	1	0	Crenichthys nevadae	<a href='http://ecos.fws.gov/docs/federal_register/fr1104.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Hibiscadelphus distans (Kauai Hau Kauahiwi); 51 FR 15903-15906	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1122.pdf' target='_blank'>Link</a>	4/29/86	51 FR 15903 15906	4	1	0	0	0	0	1	0	0	Hibiscadelphus distans	<a href='http://ecos.fws.gov/docs/federal_register/fr1122.pdf' target='_blank'>FWS Link</a>	NA
Final Rule to Determine Sonora Chub to be Thr. Species & Determine Crit. Hab.; 51 FR 16042-16047	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1125.pdf' target='_blank'>Link</a>	4/30/86	51 FR 16042 16047	6	8	1	0	0	0	5	1	1	Gila ditaenia	<a href='http://ecos.fws.gov/docs/federal_register/fr1125.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Least Bell's Vireo; 51 FR 16474-16482	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1129.pdf' target='_blank'>Link</a>	5/2/86	51 FR 16474 16482	8	8	1	0	0	0	7	0	0	Vireo bellii pusillus	<a href='http://ecos.fws.gov/docs/federal_register/fr1129.pdf' target='_blank'>FWS Link</a>	NA
Rule to Determine Cycladenia humilis var. jonesii (Jones Cycladenia) to be Thr. Species; 51 FR 16526-16530	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1131.pdf' target='_blank'>Link</a>	5/5/86	51 FR 16526 16530	5	4	0	0	0	0	4	0	0	Cycladenia humilis var. jonesii	<a href='http://ecos.fws.gov/docs/federal_register/fr1131.pdf' target='_blank'>FWS Link</a>	NA
Determination of Iliamna corei (Peter's Mountain mallow) to be End. Species; 51 FR 17343-17346	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1133.pdf' target='_blank'>Link</a>	5/12/86	51 FR 17343 17346	4	4	0	0	0	1	3	0	0	Iliamna corei	<a href='http://ecos.fws.gov/docs/federal_register/fr1133.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Scaevola coriacea (Dwarf Naupaka); 51 FR 17971-17974	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1135.pdf' target='_blank'>Link</a>	5/16/86	51 FR 17971 17974	4	3	0	0	0	0	3	0	0	Scaevola coriacea	<a href='http://ecos.fws.gov/docs/federal_register/fr1135.pdf' target='_blank'>FWS Link</a>	NA
End. Status for Chrysopsis floridana (Florida Golden Aster); 51 FR 17974- 17977	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1136.pdf' target='_blank'>Link</a>	5/16/86	51 FR 17974 17977	4	4	0	0	2	0	2	0	0	Chrysopsis floridana	<a href='http://ecos.fws.gov/docs/federal_register/fr1136.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Scutellaria montana (Large-flowered Skullcap); 51 FR 22521-22524	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1149.pdf' target='_blank'>Link</a>	6/20/86	51 FR 22521 22524	4	4	1	0	0	0	3	0	0	Scutellaria montana	<a href='http://ecos.fws.gov/docs/federal_register/fr1149.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Cordylanthus palmatus (Palmate-bracted Bird's Beak); 51 FR 23765-23769	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1153.pdf' target='_blank'>Link</a>	7/1/86	51 FR 23765 23769	5	7	2	0	1	0	4	0	0	Cordylanthus palmatus	<a href='http://ecos.fws.gov/docs/federal_register/fr1153.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Eriogonum ovalifolium var. williamsiae (Steamboat Buckwheat); 51 FR 24669-24672	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1156.pdf' target='_blank'>Link</a>	7/8/86	51 FR 24669 24672	4	3	0	0	0	0	3	0	0	Eriogonum ovalifolium var. williamsiae	<a href='http://ecos.fws.gov/docs/federal_register/fr1156.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Mezoneuron kavaiense (Uhiuhi); 51 FR 24672-24675	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1157.pdf' target='_blank'>Link</a>	7/8/86	51 FR 24672 24675	4	8	0	2	3	0	3	0	0	Mezoneuron kavaiense	<a href='http://ecos.fws.gov/docs/federal_register/fr1157.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Florida Grasshopper Sparrow; 51 FR 27492- 27495	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1168.pdf' target='_blank'>Link</a>	7/31/86	51 FR 27492 27495	4	6	0	0	2	0	4	0	0	Ammodramus savannarum floridanus	<a href='http://ecos.fws.gov/docs/federal_register/fr1168.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Lindera melissifolia; 51 FR 27495-27500	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1169.pdf' target='_blank'>Link</a>	7/31/86	51 FR 27495 27500	6	5	0	0	2	1	2	0	0	Lindera melissifolia	<a href='http://ecos.fws.gov/docs/federal_register/fr1169.pdf' target='_blank'>FWS Link</a>	NA
Thr. Status for Pawnee Montane Skipper; 51 FR 34106-34109	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1181.pdf' target='_blank'>Link</a>	9/25/86	51 FR 34106 34109	4	4	0	0	0	1	3	0	0	Hesperia leonardus montana	<a href='http://ecos.fws.gov/docs/federal_register/fr1181.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Species Status for Nashville Crayfish (Orconectes shoupi); 51 FR 34410-34412	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1183.pdf' target='_blank'>Link</a>	9/26/86	51 FR 34410 34412	3	4	0	0	0	0	1	0	3	Orconectes shoupi	<a href='http://ecos.fws.gov/docs/federal_register/fr1183.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Abutilon menziesii (Ko'oloa'ula); 51 FR 34412-34415	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1184.pdf' target='_blank'>Link</a>	9/26/86	51 FR 34412 34415	4	4	0	0	2	0	2	0	0	Abutilon menziesii	<a href='http://ecos.fws.gov/docs/federal_register/fr1184.pdf' target='_blank'>FWS Link</a>	NA
End. Status for 3 Florida Shrubs; 51 FR 34415-34420	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1185.pdf' target='_blank'>Link</a>	9/26/86	51 FR 34415 34420	6	5	0	0	2	0	3	0	0	Asimina tetramera; Deeringothamnus pulchellus; Deeringothamnus rugelii	<a href='http://ecos.fws.gov/docs/federal_register/fr1185.pdf' target='_blank'>FWS Link</a>	NA
End. Status for Clematis socialis; 51 FR 34420-34422	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1186.pdf' target='_blank'>Link</a>	9/26/86	51 FR 34420 34422	3	2	0	0	1	0	1	0	0	Clematis socialis	<a href='http://ecos.fws.gov/docs/federal_register/fr1186.pdf' target='_blank'>FWS Link</a>	NA
End. Status for Eryngium constancei (Loch Lomond Coyote Thistle); 51 FR 45904	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1203.pdf' target='_blank'>Link</a>	12/23/86	51 FR 45904 45907	4	6	1	0	0	2	3	0	0	Eryngium constancei	<a href='http://ecos.fws.gov/docs/federal_register/fr1203.pdf' target='_blank'>FWS Link</a>	NA
Thr. Status for Ringed Sawback Turtle (Graptemys oculifera); 51 FR 45907	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1204.pdf' target='_blank'>Link</a>	12/23/86	51 FR 45907 45910	4	8	0	0	0	0	4	2	2	Graptemys oculifera	<a href='http://ecos.fws.gov/docs/federal_register/fr1204.pdf' target='_blank'>FWS Link</a>	NA
Determination of Endangered Status for Giant Kangaroo Rat; 52 FR 283-288	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1208.pdf' target='_blank'>Link</a>	1/5/87	52 FR 283 288	6	8	2	0	0	1	5	0	0	Dipodomys ingens	<a href='http://ecos.fws.gov/docs/federal_register/fr1208.pdf' target='_blank'>FWS Link</a>	NA
Determination of Endangered Status for Yellow-shouldered Blackbird and Determination of Critical Habitat; 41 FR 51019 51022 (Agelaius xanthomus)	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr121.pdf' target='_blank'>Link</a>	11/19/76	41 FR 51019 51022	4	3	0	0	0	0	3	0	0	Agelaius xanthomus	<a href='http://ecos.fws.gov/docs/federal_register/fr121.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Cupressus abramsiana (Santa Cruz Cypress); 52 FR 675-679	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1211.pdf' target='_blank'>Link</a>	1/8/87	52 FR 675 679	5	1	0	0	0	0	1	0	0	Cupressus abramsiana	<a href='http://ecos.fws.gov/docs/federal_register/fr1211.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Lesquerella filiformis (Missouri Bladder- pod); 52 FR 679-682	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1212.pdf' target='_blank'>Link</a>	1/8/87	52 FR 679 682	4	2	0	0	0	0	2	0	0	Physaria filiformis	<a href='http://ecos.fws.gov/docs/federal_register/fr1212.pdf' target='_blank'>FWS Link</a>	NA
Determination of Thr. Status for Lespedeza leptostachya (Prairie Bush- clover); 52 FR 781-785	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1213.pdf' target='_blank'>Link</a>	1/9/87	52 FR 781 785	5	5	2	0	0	1	2	0	0	Lespedeza leptostachya	<a href='http://ecos.fws.gov/docs/federal_register/fr1213.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for 2 Puerto Rican Plants; Peperomia wheeleri & Banara vanderbilitii; 52 FR 1459-1462	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1216.pdf' target='_blank'>Link</a>	1/14/87	52 FR 1459 1462	4	4	1	0	1	0	2	0	0	Banara vanderbiltii; Peperomia wheeleri	<a href='http://ecos.fws.gov/docs/federal_register/fr1216.pdf' target='_blank'>FWS Link</a>	NA
